Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015)
24003,Ahuntsic-Cartierville,NDP-New Democratic Party,30
24004,Alfred-Pellan,Green Party,2
24004,Alfred-Pellan,NDP-New Democratic Party,24
24004,Alfred-Pellan,Liberal,44.5
24004,Alfred-Pellan,Independent,0.4
24004,Alfred-Pellan,Conservative,11.3
24004,Alfred-Pellan,Bloc Quebecois,17.8
24005,Argenteuil--La Petite-Nation,Bloc Quebecois,18.7
24005,Argenteuil--La Petite-Nation,NDP-New Democratic Party,24.8
24005,Argenteuil--La Petite-Nation,Conservative,11.1
24005,Argenteuil--La Petite-Nation,Green Party,2.2
24005,Argenteuil--La Petite-Nation,Liberal,43.3
24006,Avignon--La Mitis--Matane--Matapedia,NDP-New Democratic Party,20.2
24006,Avignon--La Mitis--Matane--Matapedia,Bloc Quebecois,21
24006,Avignon--La Mitis--Matane--Matapedia,Forces et Democratie - Allier les forces de nos regions,11.6
24006,Avignon--La Mitis--Matane--Matapedia,Liberal,39.5
24006,Avignon--La Mitis--Matane--Matapedia,Rhinoceros,0.5
24006,Avignon--La Mitis--Matane--Matapedia,Conservative,6.1
24006,Avignon--La Mitis--Matane--Matapedia,Green Party,1
24007,Beauce,Conservative,58.9
24007,Beauce,Green Party,1.7
24007,Beauce,NDP-New Democratic Party,9.7
24007,Beauce,Bloc Quebecois,7.4
24007,Beauce,Liberal,22.3
24008,Beauport--Limoilou,Libertarian,0.8
24008,Beauport--Limoilou,Bloc Quebecois,14.8
24008,Beauport--Limoilou,Liberal,25.4
24008,Beauport--Limoilou,Conservative,30.6
24008,Beauport--Limoilou,NDP-New Democratic Party,25.5
24008,Beauport--Limoilou,Green Party,2.4
24008,Beauport--Limoilou,Forces et Democratie - Allier les forces de nos regions,0.2
24008,Beauport--Limoilou,Marxist-Leninist,0.3
24009,Becancour--Nicolet--Saurel,Green Party,2.3
24009,Becancour--Nicolet--Saurel,Liberal,24.3
24009,Becancour--Nicolet--Saurel,Conservative,11.4
24009,Becancour--Nicolet--Saurel,Bloc Quebecois,40
24009,Becancour--Nicolet--Saurel,NDP-New Democratic Party,22.1
24010,Bellechasse--Les Etchemins--Levis,Conservative,50.9
24010,Bellechasse--Les Etchemins--Levis,Green Party,3.2
24010,Bellechasse--Les Etchemins--Levis,NDP-New Democratic Party,13.6
24010,Bellechasse--Les Etchemins--Levis,Bloc Quebecois,11.5
24010,Bellechasse--Les Etchemins--Levis,Liberal,20.7
24011,Beloeil--Chambly,Conservative,9.3
24011,Beloeil--Chambly,Liberal,29.3
24011,Beloeil--Chambly,NDP-New Democratic Party,31.1
24011,Beloeil--Chambly,Bloc Quebecois,27.7
24011,Beloeil--Chambly,Libertarian,0.4
24011,Beloeil--Chambly,Green Party,2.3
24012,Berthier--Maskinonge,NDP-New Democratic Party,42.2
24012,Berthier--Maskinonge,Green Party,1.6
24012,Berthier--Maskinonge,Liberal,20.3
24012,Berthier--Maskinonge,Conservative,10.2
24012,Berthier--Maskinonge,Bloc Quebecois,25.8
24013,Therese-De Blainville,Liberal,32.5
24013,Therese-De Blainville,Green Party,2.4
24013,Therese-De Blainville,NDP-New Democratic Party,24.9
24013,Therese-De Blainville,Libertarian,0.6
24013,Therese-De Blainville,Bloc Quebecois,27.1
24013,Therese-De Blainville,Conservative,12.4
24014,Pierre-Boucher--Les Patriotes--Vercheres,Bloc Quebecois,28.6
24014,Pierre-Boucher--Les Patriotes--Vercheres,NDP-New Democratic Party,24.3
24014,Pierre-Boucher--Les Patriotes--Vercheres,Liberal,28.3
24014,Pierre-Boucher--Les Patriotes--Vercheres,Green Party,8.5
24014,Pierre-Boucher--Les Patriotes--Vercheres,Conservative,10.2
24015,Bourassa,Marxist-Leninist,0.6
24015,Bourassa,Green Party,2.2
24015,Bourassa,Independent,1.6
24015,Bourassa,Liberal,54.1
24015,Bourassa,NDP-New Democratic Party,14.9
24015,Bourassa,Bloc Quebecois,17.1
24015,Bourassa,Forces et Democratie - Allier les forces de nos regions,0.2
24015,Bourassa,Conservative,9.3
24016,Brome--Missisquoi,NDP-New Democratic Party,24.5
24016,Brome--Missisquoi,Bloc Quebecois,17.5
24016,Brome--Missisquoi,Green Party,2.3
24016,Brome--Missisquoi,Forces et Democratie - Allier les forces de nos regions,0.3
24016,Brome--Missisquoi,Liberal,43.9
24016,Brome--Missisquoi,Conservative,11.5
24017,Brossard--Saint-Lambert,Conservative,12.6
24017,Brossard--Saint-Lambert,Green Party,1.9
24017,Brossard--Saint-Lambert,Bloc Quebecois,10.6
24017,Brossard--Saint-Lambert,NDP-New Democratic Party,24.6
24017,Brossard--Saint-Lambert,Liberal,50.3
24018,Rimouski-Neigette--Temiscouata--Les Basques,Green Party,1.5
24018,Rimouski-Neigette--Temiscouata--Les Basques,Liberal,28
24018,Rimouski-Neigette--Temiscouata--Les Basques,Bloc Quebecois,19.3
24018,Rimouski-Neigette--Temiscouata--Les Basques,NDP-New Democratic Party,43.1
24018,Rimouski-Neigette--Temiscouata--Les Basques,Rhinoceros,0.6
24018,Rimouski-Neigette--Temiscouata--Les Basques,Conservative,7.5
24019,Charlesbourg--Haute-Saint-Charles,Green Party,2.2
24019,Charlesbourg--Haute-Saint-Charles,Liberal,23.2
24019,Charlesbourg--Haute-Saint-Charles,NDP-New Democratic Party,20.1
24019,Charlesbourg--Haute-Saint-Charles,Conservative,42.2
24019,Charlesbourg--Haute-Saint-Charles,Bloc Quebecois,12.3
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Conservative,33.5
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Forces et Democratie - Allier les forces de nos regions,0.4
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Bloc Quebecois,19.1
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Green Party,1.7
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,NDP-New Democratic Party,18.4
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Liberal,26.9
24021,ChǏ_teauguay--Lacolle,NDP-New Democratic Party,23.1
24021,ChǏ_teauguay--Lacolle,Green Party,1.9
24021,ChǏ_teauguay--Lacolle,Liberal,39.1
24021,ChǏ_teauguay--Lacolle,Conservative,11.2
24021,ChǏ_teauguay--Lacolle,Bloc Quebecois,24.4
24021,ChǏ_teauguay--Lacolle,Marxist-Leninist,0.3
24022,Chicoutimi--Le Fjord,Bloc Quebecois,20.5
24022,Chicoutimi--Le Fjord,Liberal,31.1
24022,Chicoutimi--Le Fjord,NDP-New Democratic Party,29.7
24022,Chicoutimi--Le Fjord,Green Party,2.1
24022,Chicoutimi--Le Fjord,Conservative,16.6
24023,Compton--Stanstead,Liberal,36.9
24023,Compton--Stanstead,Bloc Quebecois,20.7
24023,Compton--Stanstead,Rhinoceros,0.6
24023,Compton--Stanstead,Conservative,12.5
24023,Compton--Stanstead,Green Party,1.9
24023,Compton--Stanstead,NDP-New Democratic Party,27.4
24024,Dorval--Lachine--LaSalle,Conservative,11.1
24024,Dorval--Lachine--LaSalle,Liberal,54.9
24024,Dorval--Lachine--LaSalle,Green Party,2.3
24024,Dorval--Lachine--LaSalle,NDP-New Democratic Party,21.6
24024,Dorval--Lachine--LaSalle,Independent,0.4
24024,Dorval--Lachine--LaSalle,Bloc Quebecois,9.8
24025,Drummond,Bloc Quebecois,22.8
24025,Drummond,NDP-New Democratic Party,30.5
24025,Drummond,Green Party,2.4
24025,Drummond,Liberal,26.5
24025,Drummond,Conservative,17.7
24026,Gaspesie--Les iles-de-la-Madeleine,Rhinoceros,0.8
24026,Gaspesie--Les iles-de-la-Madeleine,Liberal,38.7
24026,Gaspesie--Les iles-de-la-Madeleine,Green Party,1
24026,Gaspesie--Les iles-de-la-Madeleine,Conservative,6.1
24026,Gaspesie--Les iles-de-la-Madeleine,Bloc Quebecois,20.9
24026,Gaspesie--Les iles-de-la-Madeleine,NDP-New Democratic Party,32.5
24027,Gatineau,Conservative,8.2
24027,Gatineau,Independent,0.3
24027,Gatineau,Bloc Quebecois,9.4
24027,Gatineau,NDP-New Democratic Party,26.6
24027,Gatineau,Green Party,1.6
24027,Gatineau,Liberal,53.8
24027,Gatineau,Marxist-Leninist,0.2
24028,Hochelaga,NDP-New Democratic Party,30.9
24028,Hochelaga,Communist,0.3
24028,Hochelaga,Marxist-Leninist,0.3
24028,Hochelaga,Conservative,6.9
24028,Hochelaga,Rhinoceros,0.8
24028,Hochelaga,Bloc Quebecois,27.7
24028,Hochelaga,Liberal,29.9
24028,Hochelaga,Green Party,3.2
24029,Honore-Mercier,NDP-New Democratic Party,16.4
24029,Honore-Mercier,Bloc Quebecois,12.9
24029,Honore-Mercier,Green Party,1.6
24029,Honore-Mercier,Conservative,12.1
24029,Honore-Mercier,Forces et Democratie - Allier les forces de nos regions,0.3
24029,Honore-Mercier,Marxist-Leninist,0.2
24029,Honore-Mercier,Liberal,56.5
24030,Hull--Aylmer,Conservative,7.7
24030,Hull--Aylmer,Bloc Quebecois,6.5
24030,Hull--Aylmer,Independent,0.3
24030,Hull--Aylmer,Liberal,51.4
24030,Hull--Aylmer,Green Party,1.9
24030,Hull--Aylmer,Marxist-Leninist,0.2
24030,Hull--Aylmer,Christian Heritage Party,0.5
24030,Hull--Aylmer,NDP-New Democratic Party,31.5
24031,Joliette,Liberal,28.2
24031,Joliette,Conservative,10.1
24031,Joliette,NDP-New Democratic Party,25.7
24031,Joliette,Forces et Democratie - Allier les forces de nos regions,0.4
24031,Joliette,Green Party,2.4
24031,Joliette,Bloc Quebecois,33.3
24032,Jonquiere,Green Party,1.4
24032,Jonquiere,Bloc Quebecois,23.3
24032,Jonquiere,Rhinoceros,0.8
24032,Jonquiere,Conservative,16.9
24032,Jonquiere,Liberal,28.5
24032,Jonquiere,NDP-New Democratic Party,29.2
24033,La Pointe-de-l'ile,Bloc Quebecois,33.6
24033,La Pointe-de-l'ile,Rhinoceros,0.6
24033,La Pointe-de-l'ile,Green Party,2
24033,La Pointe-de-l'ile,Forces et Democratie - Allier les forces de nos regions,0.2
24033,La Pointe-de-l'ile,Conservative,8
24033,La Pointe-de-l'ile,NDP-New Democratic Party,26.8
24033,La Pointe-de-l'ile,Marxist-Leninist,0.2
24033,La Pointe-de-l'ile,Liberal,28.6
24034,La Prairie,NDP-New Democratic Party,22.9
24034,La Prairie,Marxist-Leninist,0.4
24034,La Prairie,Conservative,11.9
24034,La Prairie,Bloc Quebecois,26.2
24034,La Prairie,Liberal,36.5
24034,La Prairie,Green Party,2.1
24035,Lac-Saint-Jean,NDP-New Democratic Party,28.5
24035,Lac-Saint-Jean,Bloc Quebecois,18.4
24035,Lac-Saint-Jean,Conservative,33.3
24035,Lac-Saint-Jean,Green Party,1.5
24035,Lac-Saint-Jean,Liberal,18.4
24036,Lac-Saint-Louis,Bloc Quebecois,2.7
24036,Lac-Saint-Louis,Green Party,2.9
24036,Lac-Saint-Louis,Conservative,17.4
24036,Lac-Saint-Louis,Liberal,64.1
24036,Lac-Saint-Louis,NDP-New Democratic Party,12.8
24037,LaSalle--emard--Verdun,Green Party,3.2
24037,LaSalle--emard--Verdun,Liberal,43.9
24037,LaSalle--emard--Verdun,NDP-New Democratic Party,29
24037,LaSalle--emard--Verdun,Bloc Quebecois,17
24037,LaSalle--emard--Verdun,Conservative,6.9
24038,Laurentides--Labelle,Conservative,9.8
24038,Laurentides--Labelle,Liberal,32.1
24038,Laurentides--Labelle,Green Party,2
24038,Laurentides--Labelle,NDP-New Democratic Party,26.3
24038,Laurentides--Labelle,Bloc Quebecois,29.7
24039,Laurier--Sainte-Marie,Libertarian,1.1
24039,Laurier--Sainte-Marie,Independent,0.3
24039,Laurier--Sainte-Marie,Bloc Quebecois,28.7
24039,Laurier--Sainte-Marie,Communist,0.2
24039,Laurier--Sainte-Marie,Conservative,4.1
24039,Laurier--Sainte-Marie,Green Party,3.5
24039,Laurier--Sainte-Marie,Marxist-Leninist,0.2
24039,Laurier--Sainte-Marie,NDP-New Democratic Party,38.3
24039,Laurier--Sainte-Marie,Liberal,23.7
24040,Laval--Les iles,Marxist-Leninist,0.3
24040,Laval--Les iles,Conservative,18.1
24040,Laval--Les iles,Liberal,47.7
24040,Laval--Les iles,NDP-New Democratic Party,19.8
24040,Laval--Les iles,Green Party,1.7
24040,Laval--Les iles,Bloc Quebecois,12.4
24041,Longueuil--Charles-LeMoyne,Conservative,9.6
24041,Longueuil--Charles-LeMoyne,Marxist-Leninist,0.3
24041,Longueuil--Charles-LeMoyne,Bloc Quebecois,27
24041,Longueuil--Charles-LeMoyne,NDP-New Democratic Party,24.1
24041,Longueuil--Charles-LeMoyne,Green Party,2.9
24041,Longueuil--Charles-LeMoyne,Rhinoceros,0.6
24041,Longueuil--Charles-LeMoyne,Liberal,35.4
24042,Levis--Lotbiniere,ATN,0.2
24042,Levis--Lotbiniere,Green Party,1.8
24042,Levis--Lotbiniere,NDP-New Democratic Party,14.8
24042,Levis--Lotbiniere,Liberal,21.7
24042,Levis--Lotbiniere,Bloc Quebecois,11.4
24042,Levis--Lotbiniere,Conservative,50.1
24043,Longueuil--Saint-Hubert,Forces et Democratie - Allier les forces de nos regions,0.3
24043,Longueuil--Saint-Hubert,NDP-New Democratic Party,31.2
24043,Longueuil--Saint-Hubert,Liberal,30
24043,Longueuil--Saint-Hubert,Green Party,2.5
24043,Longueuil--Saint-Hubert,Conservative,8.7
24043,Longueuil--Saint-Hubert,Bloc Quebecois,27.3
24044,Louis-Hebert,Conservative,27.2
24044,Louis-Hebert,Green Party,2.5
24044,Louis-Hebert,NDP-New Democratic Party,20.8
24044,Louis-Hebert,Christian Heritage Party,0.2
24044,Louis-Hebert,Liberal,34.8
24044,Louis-Hebert,Bloc Quebecois,14.4
24045,Louis-Saint-Laurent,NDP-New Democratic Party,15.9
24045,Louis-Saint-Laurent,Conservative,50.5
24045,Louis-Saint-Laurent,Liberal,21.4
24045,Louis-Saint-Laurent,Green Party,1.9
24045,Louis-Saint-Laurent,Bloc Quebecois,10.3
24046,Manicouagan,Conservative,10.3
24046,Manicouagan,NDP-New Democratic Party,17.5
24046,Manicouagan,Bloc Quebecois,41.3
24046,Manicouagan,Green Party,1.6
24046,Manicouagan,Liberal,29.4
24047,Megantic--L'erable,Liberal,28.1
24047,Megantic--L'erable,Conservative,35.4
24047,Megantic--L'erable,NDP-New Democratic Party,22
24047,Megantic--L'erable,Green Party,2.1
24047,Megantic--L'erable,Bloc Quebecois,12.3
24048,Mirabel,Conservative,10.1
24048,Mirabel,NDP-New Democratic Party,30.1
24048,Mirabel,Green Party,2.2
24048,Mirabel,Bloc Quebecois,31.5
24048,Mirabel,Liberal,26.1
24049,Montarville,Green Party,2.4
24049,Montarville,Conservative,10.9
24049,Montarville,Bloc Quebecois,28.4
24049,Montarville,Libertarian,1.1
24049,Montarville,Liberal,32.5
24049,Montarville,NDP-New Democratic Party,24.7
24050,Montcalm,Green Party,1.8
24050,Montcalm,Conservative,9.6
24050,Montcalm,NDP-New Democratic Party,23.5
24050,Montcalm,Forces et Democratie - Allier les forces de nos regions,1.2
24050,Montcalm,Liberal,27.3
24050,Montcalm,Bloc Quebecois,36.6
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Green Party,1.7
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Bloc Quebecois,16.1
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Rhinoceros,0.6
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Conservative,29
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,NDP-New Democratic Party,24.2
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Liberal,28.4
24052,Mount Royal,Bloc Quebecois,1.9
24052,Mount Royal,Liberal,50.3
24052,Mount Royal,Marxist-Leninist,0.3
24052,Mount Royal,Green Party,1.6
24052,Mount Royal,Conservative,37.9
24052,Mount Royal,NDP-New Democratic Party,8.1
24053,Notre-Dame-de-GrǏ_ce--Westmount,Independent,0.3
24053,Notre-Dame-de-GrǏ_ce--Westmount,Liberal,57.7
24053,Notre-Dame-de-GrǏ_ce--Westmount,Marxist-Leninist,0.4
24053,Notre-Dame-de-GrǏ_ce--Westmount,NDP-New Democratic Party,21.8
24053,Notre-Dame-de-GrǏ_ce--Westmount,Bloc Quebecois,2.5
24053,Notre-Dame-de-GrǏ_ce--Westmount,Conservative,14.4
24053,Notre-Dame-de-GrǏ_ce--Westmount,Green Party,3.1
24054,Outremont,Liberal,33.5
24054,Outremont,Green Party,3.6
24054,Outremont,Bloc Quebecois,8.4
24054,Outremont,Conservative,9.5
24054,Outremont,NDP-New Democratic Party,44.1
24054,Outremont,Libertarian,0.5
24054,Outremont,Communist,0.4
24055,Papineau,No Affiliation,0.2
24055,Papineau,Bloc Quebecois,12.2
24055,Papineau,Rhinoceros,0.6
24055,Papineau,NDP-New Democratic Party,25.9
24055,Papineau,Independent,1
24055,Papineau,Marxist-Leninist,0.3
24055,Papineau,Green Party,2.8
24055,Papineau,Liberal,52
24055,Papineau,Conservative,4.7
24055,Papineau,Independent,0.3
24056,Pierrefonds--Dollard,Conservative,20
24056,Pierrefonds--Dollard,Liberal,58.7
24056,Pierrefonds--Dollard,NDP-New Democratic Party,16.4
24056,Pierrefonds--Dollard,Bloc Quebecois,3.5
24056,Pierrefonds--Dollard,Green Party,1.5
24057,Pontiac,Liberal,54.5
24057,Pontiac,Green Party,1.7
24057,Pontiac,Marxist-Leninist,0.2
24057,Pontiac,Bloc Quebecois,6.9
24057,Pontiac,Forces et Democratie - Allier les forces de nos regions,0.2
24057,Pontiac,NDP-New Democratic Party,22.5
24057,Pontiac,Conservative,13.9
24058,Portneuf--Jacques-Cartier,Liberal,21.5
24058,Portneuf--Jacques-Cartier,Conservative,44
24058,Portneuf--Jacques-Cartier,Bloc Quebecois,10.7
24058,Portneuf--Jacques-Cartier,NDP-New Democratic Party,22.1
24058,Portneuf--Jacques-Cartier,Green Party,1.8
24059,Quebec,Conservative,21.8
24059,Quebec,Liberal,28.9
24059,Quebec,Marxist-Leninist,0.3
24059,Quebec,Bloc Quebecois,18.8
24059,Quebec,NDP-New Democratic Party,27
24059,Quebec,Forces et Democratie - Allier les forces de nos regions,0.2
24059,Quebec,Green Party,2.9
24060,Repentigny,NDP-New Democratic Party,23.3
24060,Repentigny,Forces et Democratie - Allier les forces de nos regions,2
24060,Repentigny,Liberal,27.3
24060,Repentigny,Green Party,1.9
24060,Repentigny,Conservative,10.8
24060,Repentigny,Bloc Quebecois,34.7
24061,Richmond--Arthabaska,NDP-New Democratic Party,24.2
24061,Richmond--Arthabaska,Green Party,1.7
24061,Richmond--Arthabaska,Liberal,24.7
24061,Richmond--Arthabaska,Rhinoceros,0.7
24061,Richmond--Arthabaska,Bloc Quebecois,17.2
24061,Richmond--Arthabaska,Conservative,31.6
24062,Riviere-des-Mille-iles,Conservative,10.5
24062,Riviere-des-Mille-iles,Liberal,32.4
24062,Riviere-des-Mille-iles,NDP-New Democratic Party,29.5
24062,Riviere-des-Mille-iles,Bloc Quebecois,25.4
24062,Riviere-des-Mille-iles,Independent,0.3
24062,Riviere-des-Mille-iles,Green Party,2
24063,Riviere-du-Nord,Liberal,26.4
24063,Riviere-du-Nord,Rhinoceros,0.5
24063,Riviere-du-Nord,NDP-New Democratic Party,30.1
24063,Riviere-du-Nord,Bloc Quebecois,32
24063,Riviere-du-Nord,Green Party,2.5
24063,Riviere-du-Nord,Conservative,8.5
24064,Rosemont--La Petite-Patrie,Rhinoceros,0.8
24064,Rosemont--La Petite-Patrie,Bloc Quebecois,21.1
24064,Rosemont--La Petite-Patrie,NDP-New Democratic Party,49.2
24064,Rosemont--La Petite-Patrie,Marxist-Leninist,0.3
24064,Rosemont--La Petite-Patrie,Conservative,4.3
24064,Rosemont--La Petite-Patrie,Liberal,20.7
24064,Rosemont--La Petite-Patrie,Green Party,3.1
24064,Rosemont--La Petite-Patrie,Libertarian,0.6
24065,Marc-Aurele-Fortin,Bloc Quebecois,21.7
